amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"40,721",Support Chris on Her Healing Journey,U.S. Dollar,,of $60k goal,139,"Update: After successful surgery for what doctors
  have now classified as stage 4 colon cancer , Chris
  will be receiving follow-up chemotherapy treatment beginning March 27
  at City of Hope. During the first phase of treatment, a small spot on
  her liver grew to the size of a quarter. It was successfully excised
  in surgery, along with her gallbladder and approximately 13 inches of
  colon. But, due to the extremely aggressive nature of this cancer
  (which actually GREW during radiation), her doctors feel this course
  of follow-up treatment is vital to giving her the best possible chance
  at a full recovery. THANK YOU for your continued support of our dear friend! How you can help: Donate here to Chris's ongoing care while she is
      in treatment and unable to work. Share this page on social media and with others who may be moved to help: fundrazr.com/ChrisStrother Book a family photo shoot with Chris - contact her
    directly or email chris@hootowlstudios.com . Chris's Story Chris has been diagnosed with stage III colon cancer, a huge
    shock to us all. If anyone is a survivor, Chris Strother is the ultimate!  But we
    know that the cancer is aggressive and she must move forward
    rapidly. Chris is preparing to undergo conventional cancer treatment
    while continuing to support her overall health with a variety of
    integrative & complementary therapies. During the coming months, Chris will be unable to work at her
    normal capacity. As a single mom, she is very aware that this means
    she will need help. If you know Chris, you know that accepting this
    kind of help does not come easy for her. But, we have convinced her
    that relieving some of her financial burden will allow her to focus
    all of her energy on healing. Our goal is to raise funds to cover
    one year of medical and living expenses. We are hoping to raise funds to help her with medical co-pays;
    living expenses; integrative nutrition; ongoing expenses for her
    son, Eli; and complementary therapies that are not covered by insurance. Chris is a precious and inspiring friend to many, a true renaissance
  woman with extraordinary gifts to further bring to our world. We are
  inviting her friends, fans, and community to support her during this
  challenging time. We want her to know that we are here for her, as she
  has been for so many of us.",https://fundrazr.com/ChrisStrother
950,Help create balance on the planet through music,U.S. Dollar,,of $2.5k goal,12,"Hi we're Ben & Cassie, founders of Soul Fit NYC, a wellness
  company dedicated to creativity, self expression and healing for all
  people on the planet. Early this year our friend Richard Miller, a brilliant Brazilian
  guitarist approached us about a concern and idea he had to solve it.
  He told us a little known fact: over 60% of professional musicians are
  forced to end their careers early due to injury. Richard knows that it
  doesn't have to be that way. Rather than feeling sorry for himself and
  those affected by injury, he took action. He created an idea for a
  healing retreat in the healing land of Costa Rica, especially for
  guitarists. It's called ""Balanced Guitar."" It's a retreat
  that addresses injury prevention through balance. With yoga, surging,
  Tai Chi, massage, guitar instruction and healing food, Richard knows
  he could make a difference. We loved the idea! Like Richard, Cassie and I saw the possibility of
  this retreat and the huge  impact and possitive benefits this retreat
  could have for anyone who participated (musicians or not). We hit the
  ground running and made Richards dream a reality. This January 5th-13th, Balanced Guitar will happen in the healing
  land of Nosara, Costa Rice. Students from all walks of life and
  economic backgrounds will study guitar technique from brilliant
  teachers like Freddie Bryant (Professional Guitarist, Professor at
  Berklee School of Music & Tai Chi instructor) & Richard Miller
  (professor at Columbia and Driectoe of Programming for the Afro-Latin
  Jazz Alliance in NYC). Iyengar Yoga will be taught by master teacher Rosa Santana. Thai
  Massage will be provided by Cassie Fireman. Surfing lessons will be
  taught by Richard Miller himself. Organic, home cooked meals will be
  cooked by local, Costa Rican chef: Robin. All this costs money and time. We have very little time remaining and
  we have more money to raise. We especially want to raise money to help
  send students to our retreat who can't afford it on their own. Please consider making a donation today. No amount is too small (or
  large) to make a difference. If if you or someone you know would like to attend the retreat, we
  have a few spots left. Check out our website at www.BalancedGuitar.com or email ben@soulfit.nyc for more information. Pura Vida, Ben & Cassie",https://fundrazr.com/815G31
120,Please Help My Fiance To Experience Our Wedding Day In True Color,U.S. Dollar,,of $349 goal,3,"Aaron is Deutan color vision deficit meaning
      he can't distinguish between certain colors mainly red and green
      although he does have some issues with other colors as well. I
      would love to be able to give him the experience of seeing the
      world in true color on our special day. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/01Vr9d
615,Pediatric Brain Cancer - Brave Like Georgia,U.S. Dollar,"Jun 29, 2019",of $1k goal,12,"Meet Georgia...in this picture, February 16th, was the first
    day Georgia started complaining of headaches. Soon after, she was
    diagnosed with. She has already triumphed over so many medical issues in such a
    short amount of time - brain surgery, blood transfusion, days of
    severe pain throughout her body, high fevers, extreme nausea, hair
    loss, and she just finished 6 weeks of chemotherapy and yet, the
    list goes on. The
    location of concern is against her brain stem and her oncologist
    said if a second brain surgery is needed, it will have to be more
    aggressive with the likelihood of damage happening. The sooner
    Ependymoma is removed completely, the better it will be for her. We
    are praying and having faith that Georgia will be completely healed
    and a second brain surgery will not have to happen ✝️❤️ She had an MRI on Tuesday morning. While they await the determination for a second brain surgery, I need your help and support to give back to Georgia and her
    family. Each donation is being matched by Usborne Books & More. The donations will be used for medical expenses, gas, food, and more. If possible, can I count on you to donate $50?",https://fundrazr.com/01Vhl4
"3,450",Please Help Marccelo!,U.S. Dollar,"Aug 16, 2019",of $30k goal,37,"My name is Guissela, and I'm the mother of a miraculous little boy. 
  As a mother of 2 boys with very different disabilities, there is
  nothing more terrible than seeing your child in pain over and over
  again. Well for me it was my 14-year-old son name Marccelo. After 2 spinal cord surgeries, we thought we missed the bullet
      when we were granted a miracle after a surgery that helped him get
      stronger and able to finally take his first steps with a gate
  trainer . But just like that our happy little hero's
  progress stopped.  When Marccelo started 8th grade, he suddenly began to get weaker and weaker and lost the ability
      to control his neck and lower extremities .  He also lost his spirited smile . I can still hear him asking me, ""Mommy what's going on? Why can’t I move my hands?"" I wish I could have given him a positive answer so he
  could have felt better knowing there was something we could do about
  it. Unfortunately, we got the sad news that he would need yet another
  spinal surgery; only this time it would have to be a spinal fusion and his life would be in
      jeopardy. Marccelo could lose the little strength he has left and
      be put on a ventilator for life. I am still praying
  for the courage to take that risk. Marccelo was born on November 22, 2004, the week of Thanksgiving. I
  was thankful to God for giving me such a beautiful blessing. I was
  beyond happy and felt I was the luckiest mother alive. On the day of
  his routine 9-month checkup, the doctor gave me the first of many bad
  news to come. Marccelo needed to be seen by a specialist due to the
  fact that he was very floppy. I took Marccelo for an MRI where I was
  told that he needed a spinal decompression. At only 13 months Marccelo
  had his first spinal surgery. Doctors told me he would never walk, speak, eat and that he
      would live his life permanently in a wheelchair. At
  that moment my world collapsed. I couldn't understand why this was
  happening to me. My faith was tested and I was angry at God for what
  he was doing to my child. It was the saddest day of my life. I gained strength and decided to give my son the best life I could .  I was on a mission to prove the doctors wrong. So as Marccelo grew up, I never treated him differently, nor did I
  make things easy for him. I wanted him to give it his all so he could
  become independent and succeed in life. At the age of 3, he was able to sit up, use his little hands to
      sign, speak with difficulties, eat on his own and do many things
      regular kids his age were doing. Of course, the
  walking part was a bit difficult. Regardless, Marccelo learned 2 languages, his letters, colors and numbers
      before he went to kindergarten. I was so proud, and
  happy for him. I knew there was something special about Marccelo that
  went beyond the fact he was my son. He always had an incredible way to touch hearts and inspire
  love. He is compassionate toward those suffering and has
  always been a peace maker.  This is why I believed him when he told me
  he had an encounter with God. In 2017, just before Marccelo’s second spinal decompression, he
      shared his story about a guardian angel coming to
  him.  He described his guardian angel and a message God shared with
  him about helping other children get to heaven.  He told me he met my
  grandmother who passed away 28 years before, telling me she had a
  message for me.  She called me by my pet name and said things about me
  and our relationship that Marccelo was not aware of.  I get goose
  bumps whenever I share his story.  After the experience, Marccelo went into his surgery full of faith and optimism
    with an unprecedented recovery in spite of what the doctors had told
    me to expect. That was why we thought we dodged a bullet. Marccelo has always been a kid who enjoys every second of the day, is
  outgoing, and still believes in his dream of becoming a famous video
  game player or cop!  Making sure everyone is happy, he consistently
  finds the best in the worst. He is so loving and supportive to his
  older brother who has autism...and to me, encouraging me when I would sometimes be brought to tears when
      my body would give out while trying to lift his chair into the
  car. My body, never my will, because I know I need to
  continue to be strong for him and his brother. There are no limits to what I would do to see my son smile
  again. The pain of watching him go through this is
  insurmountable.  I would take it all myself if it would lessen it for him. Today we face a bigger challenge. I am trying to ready myself and Marccelo for his third spinal
      cord decompression and fusion surgery. I am praying
  he will not have to be on a ventilator for the rest of his life, but I
  have to be prepared in case the doctors are right. I admit, it is
  overwhelming. Not just because money is a big issue but because time is running out and a lot of changes have to be made to make
      it all happen before his surgery. Following is a
  list of what we desperately need.  Fortunately, I was able to take a
  few things off the list because insurance is covering them.  Insurance
  is not covering the following: A wheelchair with a head array so Marccelo can move around independently,
        having the autonomy to continue to learn and have some fun
        playing games . An accessible mobility van because as he gets older, he is getting heavier. I can’t
        carry him anymore because it is not safe. We need a one level home with a room big enough for his medical bed, lift, and any
        other equipment he might need after surgery, also with an
        accessible bathroom so he can move around. Marccelo is not the only kid in need; we are not the only family in
  need. I'm only a very tiny percentage who are blessed to have come
  across a tremendous network of people who are encouraging me to take
  this step of reaching out to others for help. We a beyond grateful for anything you can give to help us get
      through this. A forever thankful mom, Guissela",https://fundrazr.com/Marccelo1122
"152,820",Help James McCarthy in his battle against leukemia,U.S. Dollar,,of $100k goal,976,"How you can help: Donate to James’ care: https://fundrazr.com/campaigns/f1OA33/pay Register to be a bone marrow donor: http://www.bethematch.org/ James’ Story: On Tuesday, August 7th we were leaving the house for Rita’s birthday
  dinner when we received a voicemail from James’ doctor. She said to call immediately and left her personal cell phone
    number. As we walked, James was being his usual self:
  running down Southport Ave and acting like a healthy, happy little
  boy. Forty-eight hours later, James would be in critical
  condition, on a ventilator, and fighting for his life.  Two days after
  that James was diagnosed with an extremely rare form of Leukemia. When we called the doctor back, she shared that a routine blood test
  showed James’ white blood cell count was abnormally high and she
  wanted us to get more tests done by the Leukemia and cancer
  specialists at Lurie’s Children Hospital. To put it in
  perspective, healthy children usually have a white blood cell count of
  5,000 to 10,000. James’ was at 32,000. Thursday was the soonest appointment we could get with a hematologist
  - a doctor who specializes in diseases of the blood. The
  doctors at Lurie’s confirmed that something was not right. They wanted to get a bone marrow sample to figure out what was
  going on and the quickest way to the front of the line was to have
  James admitted. At that point, there wasn’t a high level
  of concern for James’ immediate health. We spent the day
  playing with trucks, reading books, watching “gee” (Curious George)
  and looking at cars, trucks, buses and all his favorite sights of the
  city from the hospital room window. On Friday morning at 9:30 am, James underwent a procedure to extract
  a bone marrow and a bone sample from his hip. The
  doctor’s shared what they were testing for: James likely either had
  Leukemia or an auto-immune disease. Devastation. A few hours later the oncologist (cancer doctor) called us to the
  consultation room for a discussion. She shared what was
  seemingly good news. The initial blood results had ruled
  out the most common types of Leukemia, which typically make up more
  than 99% of annual childhood Leukemia diagnosis. The
  only cancer they couldn’t rule out was a very rare form of Leukemia
  called Juvenile myelomonocytic leukemia, or JMML. We
  would later learn that JMML is so rare that there are currently only
  20 kids diagnosed in the U.S. While we didn’t yet have an answer for what was affecting James, we
  cautiously celebrated the news since the other options were an auto
  immune disease or pneumonia.  We were told the rest of the tests would
  likely come back on Monday. That night James’ health rapidly deteriorated. His
  temperature spiked to 104. His heart rate was racing at
  200 beats per minute. His lungs began to fail. To help his little body the nurses and doctors put him on
  oxygen and a few IVs. While we were scared – and not
  knowing what was happening – we at least had the benefit of being able
  to talk to the doctors. James didn’t. As the night progressed, the doctor’s wanted to increase his oxygen
  to help with his lungs; and to do so, he needed to be moved to the
  Pediatric Intensive Care Unit (PICU) and only they could administer
  the higher dosage. For the next 24-hours, James would not rest; his body would not let
    him. Each time he did fall asleep, he would wake up 10
  to 20 minutes later terrified and not knowing what was happening.  His
  body was in overdrive, IVs and sensors all over his body, a tube
  inserted down his nose into his stomach – how could he understand? It was excruciating. His body was being
    overworked. He was having trouble breathing. He was not getting the rest needed. He was
  pleading with all the words he had.  “All done.” “Momma.” “Up.”
  “Outside.” It was heartbreaking and terrifying to watch
  our poor little baby so scared and so sick, feeling completely helpless. The PICU team told us what we could already see.  James’ body
  could not sustain this pace on his own, so we made the decision to
  sedate and intubate him (put on a breathing machine.) It
  was mentally impossible to hear but we knew it had to be done.  We sat
  bedside with James as he was sedated and the breathing tubes inserted
  into his lungs.  This was two days after we walked into the hospital
  with a seemingly healthy little boy. Saturday brought a new bombshell. The only piece of
  good news we had received instantly disappeared. Our
  James had JMML, the rarest type of childhood Leukemia. The doctors now suspected that James did not have pneumonia. Instead it was leukemia filling his little lungs with white
  blood cells. James’ white blood cell count accelerated
  rapidly throughout the day from 30,000 (which we previously thought
  was unimaginably high) to 50,000 to 78,000 to 90,000 to 111,000 to 128,000. Our little James was now in critical condition. Some of
  the best doctors in Chicago were working with him minute-by-minute,
  hour-by-hour to keep him going. Everything had happened
  so fast that we didn’t even have time to process one bit of news
  before we had moved onto another. But we kept in mind
  one thing: if you’ve met James, you know he is a strong-willed little
    toddler. If anyone can battle this, it’s James. While James’ lungs were responding to the breathing machine, it
  wasn’t enough.  The doctors decided to move him to a
  new ventilator that could also administer anesthesia gas in addition
  to breathing for James.  This machine had to be brought up from the
  E.R. and had only been used a few times on the PICU floor over the
  past two years. We were told James may be the sickest
  patient in the hospital (438 patients) and that he was fighting for
  his life. We were grasping for straws. The doctors told us they
  were running out of things to try. We
  discussed unproven options that had never been tried on a patient as
  young as James. We signed consent forms. Fortunately, the new machine began to stabilize James and we took
  some of those options off the table.  During “rounds” the next
  morning we counted thirteen doctors and nurses around James’ room to
  get an update on his condition.  We felt like we were in the right
  place with the right level of attention from an incredibly experienced
  medical staff. We had tremendous support from family and
  friends – all rallying around James and supporting us day and night. On Sunday, August 12th- just 5 days after receiving that urgent
  call from the doctor - James started Chemo. His chemo is
  now administered twice a day. Once for
    30-minutes. Later in the day for 4-hours. He typically also requires a blood transfusion. This is in addition to the 18-25 drips of medication he is on
  every hour. As crazy as it sounds, this is only part of the story over the past
  week. There have been other challenges with blood
  pressure, his lungs filling with carbon dioxide (CO2), scary
  challenges switching him to new medical machinery, but tough little
  James is making progress. On Wednesday the 15th he moved
  to a smaller ventilator. His white blood cells are down
  to 30,000. While still on anesthesia, James has been resting in bed with his
  night time puppy, Curious George stuffed animal and a pacifier in one
  hand and his favorite toy truck in the other. We have
  been reading James books, which is very difficult while keeping your
  emotions in check. James has a long fight in front of him. It’s scary to
  think about all the challenges ahead but right now we are focused on
  today. One step at a time, then we will tackle the next target. Ultimately, the only cure for JMML is a bone marrow transplant, in
  addition to extensive chemotherapy over the coming months until we
  find the appropriate donor match. If you want to see if
  you would be a match for James, please register at the website below. Nearly 5,000 kids will be diagnosed with Leukemia this year. There are a lot of kids like James out there whose only hope is
  to find a good donor match. You can do it from your own
  home and it’s as easy as swabbing the inside of your cheek. Please visit: http://www.bethematch.org/ You can learn more about JMML at: https://en.m.wikipedia.org/wiki/Juvenile_myelomonocytic_leukemia Please keep James in your thoughts and prayers.  He’s the
  sweetest little boy you’ll ever meet. We can’t wait to
  hear his voice again. To see his kind blue eyes. To have him blow us a kiss with a smile. I love
    you James. You can donate to James’ care at https://fundrazr.com/campaigns/f1OA33/pay",https://fundrazr.com/f1OA33
"2,205",Ceiling lift for Ryan’s 12th birthday,U.S. Dollar,"Jun 22, 2019",of $3.8k goal,27,"Our son, Ryan, is 11 years old and suffers with Miller Dieker
  Syndrome. He needs total care for all of his needs and daily
  activities. He is now 74 pounds and getting so heavy for us to lift.
  We have sent a letter of medical necessity and applied twice for a
  lift to Ryan’s Medicaid but have been denied even after appealing. His
  12th birthday is coming up on June 21st and the only thing I can think
  of that he needs is a manual ceiling lift. This will help us safely
  get him from his bed to his wheelchair or to his bath chair. He has
  been getting bed baths for a year now despite having a rolling bath
  chair and a walk in shower to use because it is no longer safe for us
  to lift him especially when he is wet from the shower. He also goes
  many places throughout the week (church, therapy, and family outings)
  and we do not want him to be limited from these activities because we
  can no longer lift him and put him in his wheelchair. We do not want
  him to become bed bound. We have found a manual ceiling lift and track
  system at the lowest price possible that will meet his needs and have
  attached pictures. Thank you for sharing or story or donating to his
  fund for his 12th birthday!",https://fundrazr.com/91VMaf
"26,060",Urgent Support Needed for Tony Dowling's Cancer Journey!,Australian Dollar,"Jul 1, 2019",of $60k goal,71,"Hi, my names Matt my wife and I have been friends with Tony and Tracy for nearly twenty
    years. They are a beautiful family and it was such a shock when I
    got the call from Tony recently telling me of his cancer diagnosis! I’m sure most of you have been following his journey as we have
    and are sending a constant stream of love, positive thoughts and
    prayers their way. I spoke again with Tony last week and heard the n ews of
    the new diagnosis and upgrade from stage 1 to stage 4. Truly heartbreaking to hear, but Tony is as positive and
    faith-filled as always, a true inspiration, we stand strong with
    them believing for a full recovery! He told me briefly of some of the struggles of dealing with the
    unexpected expenses and also the obvious loss of income etc. but
    expressed that he knows that God has it all under control and that he is confident of a positive outcome. After our chat I got off the phone and probably like many of you
    who are not physically located near Tony and Tracy in Sydney
    Australia, I thought to myself, there has to be something we can do to help, so I have set up this campaign in
    the hope that you will all join us in standing together to help make
    a massive difference to Tonys journey! Following is a snapshot of the Dowling family, a link to Tony’s
    journey so far which you can follow and the reasons why our
    donations are so very vital and impactful at this time for them... Tony is 46 years old and has been married to
  Tracy for 19 yrs. They live on the northern beaches of Sydney with
  their two boys Max 16 and Noah 14. The family is heavily involved in
  local basketball through the boy's school and the Manly representative
  level comps. Tracy is involved at the boy's school and helps
  co-ordinate and manage multiple basketball teams. Tony has a background as a school teacher,
  business entrepreneur and currently works in training and software
  development. They are active members of the local community, and
  church and love travelling, family time and adventures of any kind. Tony and Tracy have impacted the lives of so many people around the
  globe and locally with their big hearts and generous souls. We all have been positively influenced by this amazing couple in some
  shape or form, through either school, community, business or church
    life. Here is a link where you can follow Tony’s journey and progress: https://www.mylifeline.org/invitation/FOTY/b53c54fcc2abfed6f3d977439df0c4c309e98f36fff675b0772a480f52894be2 How we can help: Tony has just had surgery to remove bowel cancer which has also
  spread to his right lung. Tony’s diagnosis has now jumped from stage 1 to stage 4! This means that it is full steam ahead for aggressive chemotherapy
  treatment for the next 6 mths, followed by lung surgery around
  November 2019. They are in the process of trying to access some insurance funds, but
  there is a 3 mth waiting period that is not covered and then funds
  will still only cover 3/4 of normal income. On top of that, there are all the additional medical bills, hospital
  expenses, gap payments, medications and day to day additional expenses
  that come with this type of treatment... We want Tony, Tracy and the boys to be able to focus on the important
  things and keep any additional stress to a minimum. We would like to
  provide enough to get them through this 4 month transition period and
  also give them a buffer so that there is not a financial burden and
  pressure on them over the next 6 months. We would like to enable Tracy to not have to take up any additional
  work to cover any shortfall and added expenses, but be able to spend
  the time with Tony and attend to all the necessary appointments and
  give him all the required care and attention needed at this time. After calculating the amount needed to cover their everyday expenses
  keeping them afloat and to keep life as normal as possible, plus
  enough to help cover their ongoing medical costs for the next 6
  months, we have set a goal to raise $60K. Anything above that will go towards any additional ongoing medical
  expenses and treatment required. We kindly ask you to consider donating to help bless Tony
        and his family at this time as they link arms and stand together
        with friends, and family near and far to fight this nasty thing
        head on! If we all give what we can and share this with our various
        friends and networks then Tony and His family’s journey will be
        made so much easier by us all joining together to show how much
        we care! Thank you all for your thoughts, prayers and generous donations... God Bless!!",https://fundrazr.com/f1TtQ0
"3,343",Mama Rose needs Hyperbaric Therapy.,U.S. Dollar,,of $6k goal,29,"In October 2017, Rose Rios suffered from a stroke leaving her
  immobile and incapable of caring for herself. The results of the
  stroke caused Complex Regional Syndrome, Vascular Dementia, Aphasia
  and have severely shifted her life activities. Rose’s family is unable to fully provide the financial assistance to
  help her receive the care needed to get better, heal and get back the
  fun, vibrant colorful life she lived & felt just a year ago. Rose is surrounded by many friends and family who help take care of
  her around the clock but unfortunately with climbing medical bills
  from physical therapy, doctor’s visits, and the medication needed 2
  times a day- it’s getting more and more difficult. Update on Rose Rios 4.29.19 Rose was hospitalized 2 months ago & has digressed a bit, but is
  still stable. Her everyday routine continues to be a struggle with her
  waking up, using the restroom, eating, taking medicine and traveling
  to appointments. After seeing many specialist, they have concluded that hyperbaric
  oxygen treatments will help with her health and prolong her life. Hyperbaric oxygen therapy involves breathing pure oxygen in a
  pressurized tube. The Hyperbaric chamber is used to treat stroke
  victims with significant results. The price for this is $1,920/mo, including an oxygen mask, plus a
  lift fee to place her in the chamber. The doctors would like to do
  this for 2-3months, to see if it substantially improves her recovery. Any donations, advice or help is truly appreciated to help us as we
  grasp for ways to help alleviate any amount of suffering and obstacles
  for Rose.",https://fundrazr.com/MamaRiosfundrazr.com
"16,670",Please help fund Aimee Kelso's treatment costs,U.S. Dollar,,of $30k goal,126,"For those of you that don't know me or know me well, three
      years and four months ago my life’s journey took a sharp turn.
      With no real warning the ‘C’ word entered my world like a tidal
      wave. Over the next two months I endured test after test and scan
      after scan to determine just what I was dealing with and how to
      treat it. We prayed, we wept, we yelled, we sat quiet, we
      questioned, we doubted, we fought. Against the grain and advice of
      many, I chose non-traditional treatment. This was a life-changing
      decision. My entire lifestyle was to be changed; eating, resting,
      processing. It was a very difficult time for me, making all the
      changes necessary for my health and then having things change due
      to my choice. Changing my diet and learning my new way of eating
      was super tough; saying no to things giving myself more time for
      rest and healing was super tough; navigating work, loss of work,
      relationships and loss of relationships was super tough; but I did it. I am now faced with a not so new challenge...my cancer is
        back. I have spent the last month enduring labs, tests and scans
        to figure out what we are dealing with now. We have consulted
        with doctors from both sides of the treatment world. It has been
        a long, overwhelming process, but we have made a decision. So I
        will be heading to Germany for treatment. My Rick will be with
        me the first two weeks of what will be approximately six weeks
        of intense treatment. This leaves our precious girls here with
        Grandma and Grandpa for that time and a huge support group of
        friends to bridge the gaps! I covet your prayers as I begin this
        treatment. Protection of my girls, wisdom and patience for my
        husband, strength and peace for my mom, travel mercies,
        successful treatment, eradicating the cancer are just a few of
        the prayer requests I would ask of you. Thank you in advance for
        joining me in prayer. It is our most powerful weapon against the darkness. Psalm 46:1-7 God is our refuge and strength, an ever-present help in trouble. 2 Therefore we will not fear, though the earth give way and the mountains fall into the heart of the sea, 3 though its waters roar and foam and the mountains quake with their surging.[c] 4 There is a river whose streams make glad the city of God, the holy place where the Most High dwells. 5 God is within her, she will not fall; God will help her at break of day. 6 Nations are in uproar, kingdoms fall; he lifts his voice, the earth melts. 7 The Lord Almighty is with us; the God of Jacob is our fortress. Much love and blessings to you! aimee",https://fundrazr.com/aimeekelso
